,period,SMA,EMA,WMA,DEMA,KAMA,MIDPOINT,T3,TEMA,TRIMA
56,60,1.8571835098870946,2.403994746992022,2.2992408417207932,2.398596428803304,1.7097552484716414,2.3826606674174036,1.7691514648277933,1.9864738857777313,1.741826162142251
57,61,1.82851458061844,2.3679798129274516,2.2674887463776456,2.2600134080780383,1.686227113765413,1.6725718982485445,1.7696338327190182,2.0066424862056094,1.741163380336942
58,62,1.8276087298735444,2.3353356910858176,2.2389342236789465,2.1004074195100246,1.6572354970020715,1.4334347064491901,1.7701112639546546,2.0281064550471357,1.743351763984086
59,63,1.8353385896284133,2.3056536932373097,2.213582170888583,1.9519800909541545,1.6626339059263961,1.3766664364577765,1.7705830950919939,2.050939434170623,1.7458725503156969
60,64,1.8582788321337136,2.278583690339962,2.191719558301243,1.8608249274089392,1.6891843307067842,2.0988968105945567,1.771048841592447,2.0752130556705506,1.7514656044646661
61,65,1.869212946675121,2.25382477849324,2.1722541926322814,1.8751771296054576,1.7109647074181205,1.9867298108133664,1.7715081599394942,2.100994233460013,1.7573615127308333
62,66,1.869085470615188,2.2311175103929046,2.154430602181065,2.026133012916001,1.715522653576629,1.8221462007225562,1.77196081695025,2.1283415102386587,1.7642465771383833
63,67,1.8639476038920282,2.2102374370331126,2.1376589452985715,2.3107177282992852,1.7171924188522856,1.7981666013461848,1.7724066649546084,2.1573001819061743,1.7709231002721497
64,68,1.8575362316571526,2.1909897371898626,2.1217937673157423,2.6893296081289555,1.7263393592048168,1.9233425928578685,1.7728456217693436,2.1878958509025956,1.7772840314325755
65,69,1.846488313446563,2.1732047459512804,2.106544891896957,3.10059976484776,1.7207477744109392,2.0011537538120416,1.7732776545830897,2.2201259760995242,1.7832101777676348
66,70,1.8291988078897654,2.1567342247324466,2.0917243716355025,3.4840463749438206,1.6991863523824224,1.5089871146914486,1.7737027670351824,2.253948892319241,1.7869705538507334
67,71,1.8134061310683356,2.141448242515137,2.077352374707373,3.797220820231786,1.6793099346253382,1.3761987422291304,1.7741209888982412,2.289269671628555,1.7900423596284076
68,72,1.801012100485569,2.1272325612341465,2.063318967862145,4.021065522856935,1.6756053859490139,1.5163717175842393,1.7745323678924254,2.325922104455646,1.790728995539683
69,73,1.8023410743245452,2.113986437563986,2.049932508025226,4.155869370343367,1.6927455588175317,1.9495725764370044,1.774936963230803,2.3636460131914494,1.7918122719810161
70,74,1.8020269858700582,2.101620769292459,2.037205950416052,4.213572721628002,1.7055812017729248,2.698845433720715,1.7753348405698701,2.402059118452625,1.791317714105565
71,75,1.8058875944374264,2.090056527500489,2.0255488786028066,4.21076891343018,1.7115983136426236,3.4783589478897325,1.77572606812296,2.4406228316756957,1.7910680305231148
72,76,1.809675995164294,2.079223426412276,2.0148734957758028,4.164091732480647,1.7132903322818742,4.446809686007533,1.7761107137010925,2.4786017622790606,1.7901501748742423
73,77,1.8168108309456559,2.0690587914106966,2.005401382954891,4.087900306685134,1.7196400092750614,3.2041562276517492,1.776488842542769,2.515017595063564,1.7894733941914855
74,78,1.8240505284729345,2.0595065927783947,1.9968881598013903,3.9935315863278924,1.7278193301362232,2.6573579274862698,1.7768605157152546,2.548599575597154,1.7885394604775242
75,79,1.8287401675985107,2.0505166184028676,1.9891525954523996,3.889403266622865,1.7372898745962932,2.1990174782458554,1.7772257890515848,2.5777365396626184,1.7878175953812958
76,80,1.825235932766537,2.042043763381992,1.9817942077624207,3.7814740864662997,1.7363424246380676,1.8109535581428307,1.7775847124636108,2.6004396835900887,1.7869225657699273
77,81,1.8128791128430377,2.034047418227029,1.974466454044013,3.673785502114806,1.7328481694137179,1.3182966285948408,1.777937329614841,2.614331612946933,1.7857085295499295
78,82,1.8044263927346353,2.0264909404981135,1.9673685499941527,3.5689567111209293,1.7230023950850428,1.1960841729021303,1.7782836778395101,2.6166858690613957,1.7843457375997802
79,83,1.8050031879309085,2.0193411972516317,1.960853723795242,3.4685887341878745,1.7164802331622457,1.4565050952340421,1.7786237882234404,2.6045516928314267,1.7830096741215573
